=== Global Aggregated Results ===
Total Mutants Generated: 88
Total Mutants Compiled: 60
Total Mutants Detected_All: 60
Global Mutation Score: 60/60 (100.00%)
All Detected Mutant IDs: 2, 3, 5, 6, 7, 9, 10, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 26, 27, 28, 30, 31, 32, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 49, 50, 51, 53, 55, 56, 58, 60, 61, 63, 64, 67, 69, 70, 73, 74, 75, 78, 79, 80, 81, 83, 85, 86, 87

=== Individual T Folder Scores ===
Folder [MR_10_1]: 3/60 (5.00%) | Avg Violation Rate: 0.0500 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_70_1]: 3/60 (5.00%) | Avg Violation Rate: 0.0500 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_71_1]: 3/60 (5.00%) | Avg Violation Rate: 0.0500 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_73_1]: 3/60 (5.00%) | Avg Violation Rate: 0.0500 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_73_2]: 3/60 (5.00%) | Avg Violation Rate: 0.0500 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_74_1]: 60/60 (100.00%) | Avg Violation Rate: 1.0000 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_74_2]: 3/60 (5.00%) | Avg Violation Rate: 0.0500 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_77_1]: 3/60 (5.00%) | Avg Violation Rate: 0.0500 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_78_1]: 3/60 (5.00%) | Avg Violation Rate: 0.0500 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_82_1]: 3/60 (5.00%) | Avg Violation Rate: 0.0500 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_83_1]: 60/60 (100.00%) | Avg Violation Rate: 1.0000 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_83_2]: 3/60 (5.00%) | Avg Violation Rate: 0.0500 | Avg Violation Rate(No Zero): 1.0000
