文件相对路径	[Different]数	[Similar]数	[Same]数	✗总数	○总数	[Same]时✗数	[Same]时○数	[Similar]时✗数	[Similar]时○数	[Similar]+[Same]时✗数	[Similar]+[Same]时○数	[Different]时✗数	[Different]时○数
find_max\mutant1\mutant_final_report.txt	9	3	15	1	26	0	15	0	3	0	18	1	8
find_max\mutant2\mutant_final_report.txt	19	1	8	19	9	0	8	0	1	0	9	19	0
find_max2\mutant1\mutant_final_report.txt	14	5	4	8	15	0	4	0	5	0	9	8	6
find_max2\mutant2\mutant_final_report.txt	7	2	6	1	14	0	6	0	2	0	8	1	6
find_median\mutant1\mutant_final_report.txt	4	7	10	2	19	0	10	2	5	2	15	0	4
find_median\mutant2\mutant_final_report.txt	17	8	5	13	17	0	5	2	6	2	11	11	6
find_min\mutant1\mutant_final_report.txt	6	6	13	1	24	0	13	0	6	0	19	1	5
find_min\mutant2\mutant_final_report.txt	22	0	6	22	6	0	6	0	0	0	6	22	0
g\mutant3\mutant_final_report.txt	0	1	2	0	3	0	2	0	1	0	3	0	0
geometric_mean\mutant1\mutant_final_report.txt	18	1	6	18	7	0	6	0	1	0	7	18	0
geometric_mean\mutant2\mutant_final_report.txt	12	1	5	13	5	1	4	0	1	1	5	12	0
get_array_value\mutant1\mutant_final_report.txt	17	2	5	12	12	0	5	0	2	0	7	12	5
get_array_value\mutant2\mutant_final_report.txt	26	2	5	25	8	0	5	0	2	0	7	25	1
harmonicMean\mutant1\mutant_final_report.txt	19	0	7	20	6	1	6	0	0	1	6	19	0
harmonicMean\mutant2\mutant_final_report.txt	14	6	7	17	10	1	6	2	4	3	10	14	0
insertion_sort\mutant2\mutant_final_report.txt	42	5	2	40	9	0	2	0	5	0	7	40	2
manhattan_dist\mutant1\mutant_final_report.txt	56	0	0	56	0	0	0	0	0	0	0	56	0
manhattan_dist\mutant2\mutant_final_report.txt	6	1	0	6	1	0	0	0	1	0	1	6	0
max\mutant1\mutant_final_report.txt	11	2	9	3	19	0	9	0	2	0	11	3	8
max\mutant2\mutant_final_report.txt	6	4	8	4	14	0	8	0	4	0	12	4	2
meanDeviation\mutant1\mutant_final_report.txt	5	1	6	5	7	0	6	0	1	0	7	5	0
meanDeviation\mutant2\mutant_final_report.txt	44	1	5	44	6	0	5	0	1	0	6	44	0
meanDifference\mutant1\mutant_final_report.txt	37	9	7	47	6	5	2	6	3	11	5	36	1
meanDifference\mutant2\mutant_final_report.txt	17	7	22	28	18	17	5	5	2	22	7	6	11
mean_absolute_error\mutant1\mutant_final_report.txt	58	0	0	58	0	0	0	0	0	0	0	58	0
mean_absolute_error\mutant2\mutant_final_report.txt	50	0	0	50	0	0	0	0	0	0	0	50	0
min\mutant1\mutant_final_report.txt	8	2	9	8	11	0	9	0	2	0	11	8	0
min\mutant2\mutant_final_report.txt	10	2	10	3	19	0	10	0	2	0	12	3	7
partition\mutant1\mutant_final_report.txt	11	0	0	9	2	0	0	0	0	0	0	9	2
partition\mutant2\mutant_final_report.txt	11	0	0	7	4	0	0	0	0	0	0	7	4
pooledMean\mutant1\mutant_final_report.txt	30	1	16	28	19	0	16	0	1	0	17	28	2
pooledMean\mutant2\mutant_final_report.txt	9	4	14	3	24	0	14	0	4	0	18	3	6
pooledVariance\mutant1\mutant_final_report.txt	9	8	19	5	31	0	19	0	8	0	27	5	4
pooledVariance\mutant2\mutant_final_report.txt	12	8	19	10	29	0	19	0	8	0	27	10	2
product\mutant1\mutant_final_report.txt	24	0	3	24	3	0	3	0	0	0	3	24	0
product\mutant2\mutant_final_report.txt	21	0	6	20	7	0	6	0	0	0	6	20	1
quantile\mutant1\mutant_final_report.txt	7	3	12	6	16	3	9	0	3	3	12	3	4
quantile\mutant2\mutant_final_report.txt	20	2	5	19	8	0	5	2	0	2	5	17	3
safeNorm\mutant1\mutant_final_report.txt	5	3	10	0	18	0	10	0	3	0	13	0	5
safeNorm\mutant2\mutant_final_report.txt	4	0	9	4	9	0	9	0	0	0	9	4	0
sampleKurtosis\mutant1\mutant_final_report.txt	25	2	4	23	8	0	4	0	2	0	6	23	2
sampleKurtosis\mutant2\mutant_final_report.txt	26	2	8	27	9	1	7	0	2	1	9	26	0
scale\mutant5\mutant_final_report.txt	0	1	5	0	6	0	5	0	1	0	6	0	0
selection_sort\mutant1\mutant_final_report.txt	50	1	13	36	28	3	10	0	1	3	11	33	17
selection_sort\mutant2\mutant_final_report.txt	47	9	5	41	20	0	5	2	7	2	12	39	8
sequential_search\mutant1\mutant_final_report.txt	14	0	1	14	1	0	1	0	0	0	1	14	0
sequential_search\mutant2\mutant_final_report.txt	14	0	3	15	2	1	2	0	0	1	2	14	0
set_min_val\mutant1\mutant_final_report.txt	8	11	8	9	18	0	8	6	5	6	13	3	5
set_min_val\mutant2\mutant_final_report.txt	32	11	16	35	24	4	12	7	4	11	16	24	8
shell_sort\mutant1\mutant_final_report.txt	57	1	15	41	32	1	14	0	1	1	15	40	17
shell_sort\mutant2\mutant_final_report.txt	11	3	13	7	20	0	13	1	2	1	15	6	5
square\mutant1\mutant_final_report.txt	3	4	4	0	11	0	4	0	4	0	8	0	3
square\mutant2\mutant_final_report.txt	3	6	3	3	9	0	3	0	6	0	9	3	0
sum\mutant1\mutant_final_report.txt	20	0	5	19	6	0	5	0	0	0	5	19	1
sum\mutant2\mutant_final_report.txt	12	5	7	1	23	0	7	0	5	0	12	1	11
sumOfLogarithms\mutant1\mutant_final_report.txt	13	0	14	5	22	0	14	0	0	0	14	5	8
sumOfLogarithms\mutant2\mutant_final_report.txt	5	2	14	0	21	0	14	0	2	0	16	0	5
sumOfPowerOfDeviations\mutant1\mutant_final_report.txt	54	0	7	54	7	0	7	0	0	0	7	54	0
sumOfPowerOfDeviations\mutant2\mutant_final_report.txt	2	2	6	2	8	0	6	1	1	1	7	1	1
s_add\mutant1\mutant_final_report.txt	60	18	8	42	44	0	8	2	16	2	24	40	20
s_add\mutant2\mutant_final_report.txt	60	7	3	36	34	0	3	0	7	0	10	36	24
variance\mutant2\mutant_final_report.txt	3	13	8	2	22	0	8	0	13	0	21	2	1
weightedMean\mutant1\mutant_final_report.txt	44	4	4	41	11	1	3	0	4	1	7	40	4
weightedMean\mutant2\mutant_final_report.txt	6	2	4	7	5	1	3	1	1	2	4	5	1
weighted_average\mutant1\mutant_final_report.txt	48	5	3	49	7	1	2	0	5	1	7	48	0
weighted_average\mutant2\mutant_final_report.txt	7	4	2	9	4	1	1	3	1	4	2	5	2
winsorizedMean\mutant1\mutant_final_report.txt	6	8	18	14	18	7	11	3	5	10	16	4	2
winsorizedMean\mutant2\mutant_final_report.txt	4	6	19	8	21	2	17	2	4	4	21	4	0

文件相对路径	[Different]数	[Similar]数	[Same]数	✗总数	○总数	[Same]时✗数	[Same]时○数	[Similar]时✗数	[Similar]时○数	[Similar]+[Same]时✗数	[Similar]+[Same]时○数	[Different]时✗数	[Different]时○数
【mutant1 汇总】	1714	208	339	1471	790	25	314	23	185	48	499	1423	291
【mutant2 汇总】	1483	230	325	1306	732	33	292	33	197	66	489	1240	243
